"endTime","artistName","trackName","msPlayed"
"2022-06-29 19:18","Sabaton","To Hell and Back",206587
"2022-06-29 19:22","Beast In Black","Sweet True Lies",206587
"2022-06-29 19:25","Powerwolf","Blessed & Possessed",38702
"2022-06-29 19:26","Sabaton","The Red Baron - History Version",17094
"2022-06-29 19:29","Sabaton","The Red Baron",202333
"2022-06-29 19:30","Sabaton","The Red Baron - History Version",55913
"2022-06-29 19:30","Sabaton","Winged Hussars",4676
"2022-06-29 19:34","Powerwolf","Demons Are a Girl's Best Friend",218080
"2022-06-29 19:54","DragonForce","Through The Fire And Flames",361725
"2022-06-29 20:47","DragonForce","Through The Fire And Flames",83305
"2022-06-29 20:48","Amaranthe","Archangel",3287
"2022-06-29 20:48","Gloryhammer","Universe on Fire",51608
"2022-06-29 20:54","Wind Rose","Diggy Diggy Hole",316046
"2022-06-29 20:59","Korpiklaani","Vodka",48326
"2022-06-29 20:59","Sabaton","The Last Stand",235840
"2022-06-29 21:00","Iron Maiden","Aces High - 2015 Remaster",2090
"2022-06-29 21:00","Brothers of Metal","Prophecy of Ragnarök",5527
"2022-06-29 21:02","Iron Maiden","Aces High - 2015 Remaster",114717
"2022-06-29 21:06","Brothers of Metal","Prophecy of Ragnarök",222373
"2022-06-29 21:36","Powerwolf","Blessed & Possessed",272068
"2022-06-30 11:48","Powerwolf","Blessed & Possessed",12486
"2022-06-30 11:55","Powerwolf","Amen & Attack",234693
"2022-06-30 12:06","RichaadEB","Devil Trigger",73445
"2022-06-30 13:32","RichaadEB","Devil Trigger",40000
"2022-06-30 18:00","RichaadEB","Devil Trigger",81365
"2022-06-30 18:17","DragonForce","Cry Thunder",57613
"2022-06-30 19:35","Mick Gordon","The New Colossus",59644
"2022-06-30 19:36","Mick Gordon","Herald of Gargos",16245
"2022-06-30 19:36","Mick Gordon","Polemos",1442
"2022-06-30 19:41","Mick Gordon","Everything Is Going to Be Okay",1861
"2022-06-30 19:41","Mick Gordon","Rust, Dust & Guts",346362
"2022-06-30 19:42","Mick Gordon","Hinnamatoom",2444
"2022-06-30 19:42","Mick Gordon","I'm Back (to Rise!)",5093
"2022-06-30 19:42","Mick Gordon","Right Trigger Warning",2732
"2022-06-30 19:45","Mick Gordon","The Instinct",0
"2022-06-30 19:45","Mick Gordon","The Phantoms",165862
"2022-06-30 19:45","Mick Gordon","Toska-9",0
"2022-06-30 19:45","Mick Gordon","Type-03",717
"2022-06-30 20:00","Mick Gordon","Touch me and I'll break your face",130612
"2022-07-01 03:48","Casey Edwards","Bury the Light",580677
"2022-07-01 03:51","Tyson Yen","The Only Thing I Know For Real - Maniac Agenda Mix",146333
"2022-07-01 03:55","Mick Gordon","Rip & Tear",257734
"2022-07-01 03:59","Sabaton","The Attack of the Dead Men",235720
"2022-07-01 04:03","Donna Burke","Sins of The Father",234989
"2022-07-01 10:54","Mick Gordon","Rip & Tear",1912
"2022-07-01 10:54","Gloryhammer","Hootsforce",1296
"2022-07-01 10:54","Donna Burke","Sins of The Father",9642
"2022-07-01 11:14","Os Kmaradas","Os Seis Manés",32101
"2022-07-01 12:20","Fazlija","Helikopter",226650
"2022-07-01 12:22","Halfbrick","Jetpack Joyride Main Theme",80187
"2022-07-01 12:31","Fazlija","Helikopter",226650
"2022-07-01 12:34","""Weird Al"" Yankovic","Hardware Store",223956
"2022-07-01 12:40","Fazlija","Helikopter",202688
"2022-07-01 12:44","""Weird Al"" Yankovic","Polka Face",7021
"2022-07-01 12:44","""Weird Al"" Yankovic","Hardware Store",241822
"2022-07-01 12:52","""Weird Al"" Yankovic","The Saga Begins (Lyrical Adaption of ""American Pie"")",460995
"2022-07-01 12:55","""Weird Al"" Yankovic","Another One Rides the Bus",176153
"2022-07-01 12:58","""Weird Al"" Yankovic","Captain Underpants Theme Song",134420
"2022-07-01 13:04","""Weird Al"" Yankovic","Jurassic Park",235566
"2022-07-01 13:07","""Weird Al"" Yankovic","Polka Power!",7645
"2022-07-01 13:07","""Weird Al"" Yankovic","I Love Rocky Road",156386
"2022-07-01 13:09","Judas Priest","Turbo Lover - Remastered",591
"2022-07-01 13:09","""Weird Al"" Yankovic","Like a Surgeon",53373
"2022-07-01 13:13","Brothers of Metal","Prophecy of Ragnarök",222373
"2022-07-01 13:43","Kit Walters","The Stains of Time - Maniac Agenda Mix",130186
"2022-07-01 13:53","Mick Gordon","At Doom's Gate",70770
"2022-07-01 14:04","Alestorm","Drink",68608
"2022-07-01 14:30","Pharrell Williams","Despicable Me",21039
"2022-07-01 14:30","Sabaton","The Red Baron",2440
"2022-07-01 14:31","Pharrell Williams","Despicable Me",2219
"2022-07-01 14:31","Pharrell Williams","Despicable Me",1120
"2022-07-01 14:31","Pharrell Williams","Despicable Me",1696
"2022-07-01 14:31","Pharrell Williams","Despicable Me",1110
"2022-07-01 14:31","Sabaton","The Red Baron",768
"2022-07-01 14:31","Sabaton","The Red Baron",867
"2022-07-01 14:31","Sabaton","The Red Baron",1494
"2022-07-01 14:31","Sabaton","The Red Baron",7829
"2022-07-01 14:49","Pharrell Williams","Despicable Me",199262
"2022-07-01 14:55","Pharrell Williams","Despicable Me",56053
"2022-07-01 14:58","Sabaton","The Red Baron",202333
"2022-07-01 15:05","""Weird Al"" Yankovic","Hardware Store",223956
"2022-07-01 15:08","""Weird Al"" Yankovic","Party In the CIA (Parody of ""Party In The U.S.A."" by Miley Cyrus)",176866
"2022-07-01 15:09","Ed Helms","How Bad Can I Be?",54257
"2022-07-01 15:09","Epic Rap Battles of History","Artists vs Tmnt",5756
"2022-07-01 15:10","Ed Helms","How Bad Can I Be?",15635
"2022-07-01 15:10","Daniel Pemberton","Good Tonight",6480
"2022-07-01 15:10","Epic Rap Battles of History","Artists vs Tmnt",30
"2022-07-01 15:10","Epic Rap Battles of History","Artists vs Tmnt",2435
"2022-07-01 15:13","Ed Helms","How Bad Can I Be?",172222
"2022-07-01 15:39","Epic Rap Battles of History","Artists vs Tmnt",29410
"2022-07-01 15:39","The 88","Biggering - Original Demo",301093
"2022-07-01 15:43","Lemon Demon","The Ultimate Showdown of Ultimate Destiny",213135
"2022-07-01 15:43","glass beach","cold weather",5382
"2022-07-01 15:47","Tally Hall","Ruler of Everything",67
"2022-07-01 15:47","Good Kid","Witches",11535
"2022-07-01 15:47","""Weird Al"" Yankovic","Hardware Store",223956
"2022-07-01 15:47","Jukebox The Ghost","Under My Skin",3325
"2022-07-01 15:59","Tally Hall","Ruler of Everything",57909
"2022-07-01 19:21","Tally Hall","Ruler of Everything",165676
"2022-07-01 19:22","Jukebox The Ghost","Under My Skin",28724
"2022-07-01 19:34","The Chalkeaters","Doom Crossing: Eternal Horizons",46739
"2022-07-01 20:32","Anthrax","Time",69520
"2022-07-01 21:28","Battle Beast","Push It to the Limit - Bonus",11573
"2022-07-01 21:54","Iron Maiden","The Trooper - 2015 Remaster",224020
"2022-07-01 21:57","Slayer","Raining Blood",141799
"2022-07-01 22:07","DragonForce","Fury Of The Storm",13734
"2022-07-01 22:29","Luiz Gonzaga","17 e 700 (Dezessete e Setecentos)",144312
"2022-07-01 22:30","Luiz Gonzaga","Respeita Januário",15576
"2022-07-01 22:40","Powerwolf","Amen & Attack",26112
"2022-07-02 20:00","bobacupcake","theme of really cool bird",131633
"2022-07-02 20:00","Shirobon","Undertale - Spider Dance - Shirobon Remix",4481
"2022-07-02 20:02","Valve Studio Orchestra","Mercenary Park",95598
"2022-07-02 20:03","FORCE RING MUSIC","Merkmal",10301
"2022-07-02 20:03","FORCE RING MUSIC","Merkmal",5364
"2022-07-02 20:03","Stormwarrior","Heroic Deathe",31083
"2022-07-02 20:03","Twilight Force","Enchanted Dragon of Wisdom",11434
